,Station,lat,lon,Elevation
152,CGM00064115,-1.967,18.267,300.0
153,CGM00064204,-5.85,13.1,8.0
154,CGM00064206,-5.517,13.583,277.0
155,CGM00064207,-5.8,13.433,340.0
156,CGM00064210,-4.386,15.445,313.0
157,CGM00064220,-4.367,15.25,445.0
158,CGM00064222,-5.036,18.786,479.1
159,CGM00064228,-6.417,20.85,481.0
160,CGM00064235,-5.9,22.469,652.0
161,CGM00064247,-6.167,23.617,677.0
162,CGM00064360,-11.591,27.531,1309.1
163,SU000062840,9.55,31.65,388.0
164,SU000062880,7.7,28.017,438.0
165,SU000062941,4.867,31.6,457.0
166,SUM00062801,11.75,32.783,282.0
167,EKM00064810,3.755,8.709,23.2
168,EKM00064820,1.9,9.8,8.0
169,ER000063021,15.283,38.917,2325.0
170,ER000063023,15.617,39.45,10.0
171,ET000063330,13.5,39.483,2070.0
172,ET000063331,12.55,37.417,1967.0
173,ET000063332,11.6,37.417,1770.0
174,ET000063333,11.117,39.733,1903.0
175,ET000063334,10.333,37.667,2515.0
176,ET000063340,9.083,36.45,2080.0
177,ET000063402,7.667,36.833,1725.0
178,ET000063403,8.15,35.533,2002.0
179,ET000063450,9.033,38.75,2354.0
180,ET000063451,8.733,38.95,1900.0
181,ET000063453,8.87,39.9,930.0
182,ET000063460,7.083,38.483,1750.0
183,ET000063471,9.6,41.85,1260.0
184,ET000063473,9.333,42.717,1644.0
185,ET000063474,7.133,40.0,2480.0
186,ET000063478,5.9,43.583,295.0
187,ET000063500,6.083,37.633,1290.0
188,ET000063533,5.33,39.57,1544.0
189,KE000063619,3.533,39.033,1097.0
190,CFM00064462,0.1,13.55,408.0
191,GB000004501,-0.72,8.78,5.0
192,GB000004504,1.0,9.6,16.0
193,GB000004507,-2.92,11.02,83.0
194,GB000004510,2.08,11.48,599.0
195,GB000004545,1.02,13.93,545.0
196,GB000004550,-1.87,11.02,89.0
197,GB000004551,0.72,10.22,82.0
198,GB000004553,-1.63,13.57,426.0
199,GB000004556,0.57,12.87,516.0
200,GB000004560,0.83,12.72,483.0
201,GB000004565,-1.53,13.27,572.0
202,GB000064552,0.783,11.533,583.0
203,GBM00064500,0.459,9.412,11.9
204,GBM00064550,-1.845,11.057,89.9
205,GBM00064551,-0.704,10.246,25.0
206,GBM00064560,-0.833,12.717,485.0
207,GBM00064570,-1.667,13.4,321.0
208,GAM00061701,13.338,-16.652,29.0
209,GHM00065401,10.9,-1.1,203.0
210,GHM00065404,10.083,-2.508,323.1
211,GHM00065416,9.033,-2.483,301.0
212,GHM00065418,9.557,-0.863,168.6
213,GHM00065432,7.75,-2.1,340.0
214,GHM00065437,7.817,-0.033,122.0
215,GHM00065439,7.362,-2.329,309.1
216,GHM00065442,6.715,-1.591,287.1
217,GHM00065445,6.2,-2.333,172.0
218,GHM00065453,6.6,0.467,158.0
219,GHM00065457,5.933,-0.983,140.0
220,GHM00065459,6.083,-0.25,167.0
221,GHM00065460,6.1,0.117,19.0
222,GHM00065465,4.867,-2.233,40.0
223,GHM00065467,4.896,-1.775,6.4
224,GHM00065472,5.605,-0.167,62.5
225,GHM00065475,5.783,0.633,7.0
226,PUM00061766,11.895,-15.654,39.3
227,PUM00061769,11.583,-15.483,20.0
228,GV000001809,11.32,-12.3,362.0
229,GV000001811,11.43,-9.17,362.0
230,GV000001816,10.93,-14.25,69.0
231,GV000001818,10.05,-12.87,458.0
232,GV000001820,10.37,-12.08,782.0
233,GV000001829,10.38,-9.3,377.0
234,GV000001832,9.57,-13.62,46.0
235,GV000001847,8.53,-9.42,543.0
236,GVM00061833,10.035,-10.77,449.9
237,GVM00061834,9.217,-10.217,412.0
238,GVM00061849,7.733,-8.833,470.0
239,KE000063612,3.117,35.617,515.0
240,KE000063624,3.933,41.867,231.0
241,KE000063661,1.016,35.0,1875.0
242,KE000063723,-0.467,39.633,147.0
243,KE000063740,-1.317,36.917,1624.0
244,KE000063820,-4.033,39.617,55.0
245,KEM00063686,0.404,35.239,2115.6
246,KEM00063741,-1.3,36.75,1798.0
247,KEM00063799,-3.229,40.102,25.0
248,LT002073370,-30.12,28.7,1970.0
249,LT002334390,-29.82,27.25,1610.0
250,LT002638590,-29.3,27.5,1539.0
251,LT002970830,-28.88,28.05,1740.0
252,LIM00065660,6.234,-10.362,9.4
253,MA000067009,-12.35,49.3,105.0
254,MA000067019,-14.633,47.767,57.0
255,MA000067083,-18.8,47.483,1276.0
256,MA000067095,-18.117,49.4,6.0
257,MA000067161,-23.383,43.733,8.0
258,MA000067197,-25.033,46.95,9.0
259,MAM00067012,-13.312,48.315,11.0
260,MAM00067017,-13.376,50.003,5.8
261,MAM00067023,-14.279,50.175,6.1
262,MAM00067025,-14.999,50.32,6.1
263,MAM00067027,-15.667,46.352,26.5
264,MAM00067037,-16.742,44.481,38.1
265,MAM00067045,-16.95,46.833,79.0
266,MAM00067067,-17.633,48.5,780.0
267,MAM00067072,-17.094,49.816,2.1
268,MAM00067073,-18.05,44.033,23.0
269,MAM00067085,-18.867,47.5,1310.0
270,MAM00067107,-19.817,47.067,1532.0
271,MAM00067113,-19.833,48.8,5.0
272,MAM00067117,-20.285,44.318,9.1
273,MAM00067131,-21.754,43.376,4.9
274,MAM00067137,-21.442,47.112,1115.0
275,MAM00067152,-22.55,45.4,824.0
276,MAM00067157,-22.805,47.821,7.9
277,MI000067421,-9.7,33.267,1278.0
278,MI000067423,-9.95,33.883,529.0
279,MI000067424,-10.967,33.733,1100.0
280,MI000067485,-11.883,33.617,1351.0
281,MI000067489,-11.45,34.017,1253.0
282,MI000067493,-11.6,34.3,500.0
283,MI000067585,-13.983,33.633,1149.0
284,MI000067588,-14.167,33.667,1100.0
285,MI000067591,-12.917,34.267,500.0
286,MI000067597,-13.75,34.583,513.0
287,MI000067687,-15.783,35.033,1141.0
288,MI000067689,-14.317,34.267,1632.0
289,MI000067692,-15.517,35.217,1028.0
290,MI000067693,-15.683,34.967,767.0
291,MI000067695,-14.433,35.25,485.0
292,MI000067699,-16.082,35.583,653.0
293,MI000067791,-15.917,35.067,1146.0
294,MI000067793,-16.149,35.217,820.0
295,MI000067797,-16.517,35.15,58.0
296,MIM00067586,-13.789,33.781,1261.0
297,ML000061202,20.2,0.983,491.0
298,ML000061223,16.717,-3.0,264.0
299,ML000061250,15.867,2.217,278.0
300,ML000061270,13.067,-9.467,334.0
301,ML000061297,11.35,-5.683,375.0
302,MLM00061214,18.433,1.35,459.0
303,MLM00061226,16.248,-0.005,265.2
304,MLM00061230,15.233,-9.35,237.0
305,MLM00061233,15.167,-7.283,265.0
306,MLM00061235,15.117,-10.567,100.0
307,MLM00061240,15.333,-1.683,288.0
308,MLM00061257,14.482,-11.44,51.5
309,MLM00061265,14.513,-4.08,276.1
310,MLM00061272,13.4,-6.15,289.0
311,MLM00061277,13.333,-4.833,284.0
312,MLM00061285,12.85,-11.233,132.0
313,MLM00061291,12.534,-7.95,380.1
314,MLM00061293,12.383,-5.467,367.0
315,MLM00061296,11.417,-7.5,351.0
316,MR000001401,25.23,-11.62,359.0
317,MR000001403,22.68,-12.7,295.0
318,MR000001415,20.93,-17.05,8.0
319,MR000001421,20.52,-13.07,226.0
320,MR000001437,19.75,-14.38,123.0
321,MR000001442,18.12,-15.93,5.0
