station,latitude,longitude,elevation,Temp_mean_min,Temp_mean_max,Temp_mean_avg,Temp_mean_range
AO000066160,-8.85,13.233,74.0,23.601557837097822,28.440212183435936,26.020885010266955,4.838654346338115
AO000066270,-11.417,15.117,1304.0,14.441073237508496,27.883141683778263,21.16210746064346,13.442068446269651
AO000066390,-14.933,13.567,1761.0,14.201880903490787,29.00474469541416,21.60331279945253,14.802863791923336
AO000066410,-14.65,17.683,1343.0,14.589267624914491,28.87386310746062,21.73156536618759,14.284595482546223
AO000066422,-15.2,12.15,45.0,20.63275838466802,21.973542778918628,21.30315058179329,1.340784394250513
AO000066447,-15.833,20.35,1088.0,15.771921971252532,30.415767282683117,23.093844626967787,14.643845311430507
WA012076210,-17.85,19.35,1050.0,16.061880903490756,31.45472826830941,23.75830458590002,15.392847364818639
BN000005306,11.13,2.93,290.0,21.261798767967107,34.066239561943874,27.664019164955498,12.804440793976783
BN000005319,10.32,1.48,460.0,20.608071184120504,32.438859685147186,26.52346543463378,11.83078850102668
BN000005331,8.87,2.6,325.0,21.17063107460647,31.93739493497607,26.554013004791273,10.766763860369569
BN000005335,7.98,2.43,198.0,21.797245722108187,30.931357973990483,26.3643018480493,9.134112251882275
BN000005344,6.35,2.38,4.0,24.43419438740599,28.977500342231377,26.705847364818634,4.543305954825464
BN000065306,11.133,2.933,292.0,21.261798767967107,34.066239561943874,27.664019164955498,12.804440793976783
BN000065335,8.032,2.467,200.0,21.797245722108187,30.931357973990483,26.3643018480493,9.134112251882275
BNM00065330,9.35,2.617,393.0,21.089225188227086,32.73946338124576,26.914344284736533,11.650238193018446
BNM00065338,7.167,2.067,167.0,22.66356468172485,31.07773853524979,26.870651608487357,8.414173853524996
BC000068026,-18.367,21.85,1000.0,16.57436276522923,31.799263518138325,24.186813141683686,15.224900752909013
BC000068032,-19.983,23.417,943.0,16.55452840520194,32.022120465434675,24.28832443531826,15.467592060232699
BC000068226,-24.017,21.883,1100.0,14.046925393566065,30.044273785078754,22.045599589322375,15.997348391512705
BC000068234,-24.6,24.667,1189.0,13.686318959616663,29.402616016427086,21.544467488021922,15.716297056810353
BC000068328,-26.05,22.45,1000.0,13.659782340862451,30.113263518138204,21.886522929500362,16.453481177275812
BC004612080,-26.467,20.617,879.0,13.296680355920618,30.31106639288147,21.80387337440106,17.014386036961028
BC005452830,-25.22,25.67,1192.0,12.465312799452416,28.629812457221163,20.547562628336724,16.164499657768673
BC005836580,-24.97,25.37,1372.0,12.465312799452416,28.629812457221163,20.547562628336724,16.164499657768673
BC005847300,-24.667,25.917,1000.0,13.130914442162938,29.266249144421476,21.19858179329222,16.135334702258742
BC006270240,-24.4,25.52,1110.0,13.130914442162938,29.266249144421476,21.19858179329222,16.135334702258742
BC006282050,-24.42,26.12,945.0,13.807557837097866,30.05061054072555,21.929084188911695,16.24305270362767
BC007034890,-23.15,20.28,1250.0,13.451972621492084,29.771668720054755,21.61182067077356,16.319696098562634
BC007137570,-23.12,25.43,1005.0,14.40339493497605,30.088247775496196,22.245821355236185,15.684852840520152
BC007591160,-22.93,26.57,1163.0,13.925248459958944,29.576918548939055,21.751083504448975,15.65167008898019
BC007602130,-22.55,27.13,908.0,14.142041067761829,29.57369472963714,21.85786789869959,15.431653661875437
BC007916970,-22.12,20.9,1182.0,14.133742642025965,29.958963723477048,22.04635318275147,15.825221081451065
BC008033530,-22.38,26.7,1140.0,14.142041067761829,29.57369472963714,21.85786789869959,15.431653661875437
BC008382520,-21.7,21.65,1100.0,15.10890212183441,30.619479808350377,22.864190965092405,15.510577686516148
BC008948490,-21.217,27.5,1001.0,14.548670773442854,29.99492539356604,22.271798083504414,15.446254620123158
BC012192590,-17.817,25.15,1002.0,16.14685557837093,31.146199863107363,23.646527720739197,14.999344284736479
BCM00068030,-18.533,25.633,1071.0,15.586715947980846,30.328433949349836,22.957574948665258,14.74171800136895
SF006727480,-23.967,26.917,857.0,14.657853524982913,30.666208076659757,22.662030800821352,16.00835455167693
SF007175950,-23.4,27.35,810.0,14.83518548939085,30.662803559205923,22.74899452429843,15.827618069815122
UV000005501,14.03,0.05,288.0,21.77633401779604,36.13065023956189,28.953492128679006,14.354316221765972
UV000005502,13.58,-2.43,340.0,21.562087611225238,35.50513347022578,28.53361054072551,13.943045859000659
UV000005503,12.35,1.52,304.0,21.695626283367556,35.43200547570142,28.563815879534573,13.736379192334066
UV000005507,12.07,0.35,301.0,21.671937029431845,35.050346338124605,28.361141683778165,13.378409308692664
UV000005510,11.67,-4.3,432.0,21.244609171800228,34.30791375770023,27.776261464750213,13.06330458590008
UV000005516,11.73,-2.92,264.0,21.355694729637232,34.74109924709087,28.048396988364118,13.385404517453813
UV000005522,10.33,-3.18,333.0,21.24164407939769,33.93437645448321,27.588010266940486,12.692732375085548
UV000065501,14.033,-0.033,277.0,21.77633401779604,36.13065023956189,28.953492128679006,14.354316221765972
UV000065516,11.75,-2.933,271.0,21.355694729637232,34.74109924709087,28.048396988364118,13.385404517453813
UVM00065503,12.353,-1.512,316.1,21.106737850787173,35.34645037645459,28.22659411362076,14.239712525667368
UVM00065510,11.16,-4.331,460.6,21.072789869952054,33.81066803559209,27.44172895277208,12.737878165639913
UVM00065518,11.15,-1.15,322.0,21.80173169062286,34.355013004791175,28.078372347707127,12.55328131416836
CM000004910,4.02,9.72,13.0,23.197530458590077,30.477923340177952,26.83772689938401,7.280392881587969
CM000064870,7.35,13.567,1104.0,17.68984531143049,29.153930184804842,23.421887748117747,11.464084873374432
CMM00064851,10.451,14.257,424.0,21.377607118411994,35.41033675564674,28.393971937029423,14.03272963723476
CMM00064860,9.336,13.37,242.0,22.040292950034104,34.793481177275794,28.41688706365504,12.753188227241623
CMM00064930,4.6,13.733,668.0,19.52480492813136,29.525234770704834,24.525019849418126,10.000429842573588
CVM00008583,16.883,-25.0,63.0,22.283459274469532,24.434869267624993,23.359164271047074,2.1514099931553714
CVM00008589,14.917,-23.6,70.0,23.473054072553026,25.361924709103405,24.417489390828266,1.8888706365503027
CVM00008594,16.741,-22.949,53.9,22.9691526351814,24.330911704312093,23.650032169746883,1.3617590691307329
CT000004600,4.22,15.78,583.0,20.313095140314854,29.378294318959558,24.84569472963727,9.065199178644745
CT000004601,6.93,15.58,935.0,18.703739904175208,30.29580698151957,24.499773442847278,11.592067077344318
CT000004603,6.5,18.27,458.0,21.1045366187543,33.12571526351826,27.11512594113613,12.021178644763845
CT000004605,5.27,17.63,674.0,20.28787405886382,31.51009034907606,25.898982203969933,11.22221629021212
CT000004610,6.48,17.43,465.0,20.9890212183436,33.216386036961055,27.102703627652254,12.227364818617387
CT000004650,4.38,18.57,381.0,21.584380561259454,31.758542094455805,26.67146132785756,10.17416153319647
CT000004654,8.4,20.65,510.0,21.30901300479116,34.15508418891172,27.732048596851445,12.846071184120458
CT000004655,6.53,21.98,548.0,20.13054072553056,31.970960985626338,26.050750855578297,11.840420260095833
CT000004656,4.73,22.83,500.0,21.087342915811078,30.55166324435323,25.819503080082224,9.46432032854205
CT000004658,10.28,22.78,465.0,21.46698562628347,35.89827789185491,28.682631759069196,14.431292265571487
CT000004659,5.4,26.5,660.0,20.20867624914438,31.856758384668048,26.032717316906123,11.64808213552365
CT000004660,5.77,20.67,448.0,20.851322381930146,31.963017111567478,26.40716974674881,11.111694729637248
CT000004661,6.5,23.27,602.0,19.921545516769346,31.90736208076667,25.91445379876794,11.985816563997309
CT000004662,5.02,21.2,447.0,20.72051471594802,30.980542094455906,25.850528405201874,10.26002737850786
CTM00064601,5.967,15.633,1020.0,18.625760438056158,29.65426557152639,24.140013004791236,11.028505133470237
CTM00064650,4.398,18.519,368.2,21.584380561259454,31.758542094455805,26.67146132785756,10.17416153319647
CTM00064665,4.317,21.183,406.0,21.561516769336023,31.30744695414111,26.43448186173842,9.745930184804951
CD000004700,12.13,15.03,295.0,21.914143737166384,37.046674880218916,29.480409308692874,15.132531143052713
CD000004701,14.12,15.32,336.0,21.561185489390834,36.70915674195763,29.135171115674023,15.147971252566736
CD000004705,10.48,16.72,336.0,22.12978644763859,36.425849418206795,29.277817932922726,14.296062970568117
CD000004709,9.37,14.87,716.0,21.43661190965083,34.76107323750859,28.098842573579745,13.324461327857627
CD000004750,9.15,18.38,0.0,22.216976043805538,35.05623134839162,28.636603696098494,12.839255304585938
