"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-07-14","78",,"77"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-07-16","76","79","73"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-07-17","77",,
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-07-20","79","84","75"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-07-21","78",,"70"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-07-22","78","86","68"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-07-25","78",,
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-07-26","78",,"75"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-07-27","80","84",
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-07-28","81",,
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-07-29","77",,"72"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-07-30","77",,
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-07-31","78","81","73"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-08-01","78","82","75"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-08-02","81","84",
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-08-03","77",,"50"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-08-04","76","81",
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-08-05","79","84",
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-08-06","79","84",
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-08-07","75","77",
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-08-08","77","81","73"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-08-09","77","81",
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-08-10","78","82",
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-08-11","77","82","73"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-08-13","79","82","75"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-08-14","78",,"75"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-08-15","78","84","72"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-08-16","79","84","75"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-08-17","77","81","75"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-08-18","78","84",
